SKU,UPC,Category,Brand,Product Name,Title,Color,Size,images link,Description,Net Weight,Net Weigth Unit,Case Width,Case Length,Case Height,Case Unit,qty per case
F06006,F06006-BLA-AS,Headwear,CSW 24/7,Yupoong,5 Panel Flat Peak Snap Back Trucker Cap,Black,AS,https://canadasportswear.com/cdn/shop/files/6006_BLACK_LEFTSLANT_STICKER_b7ab3cec-2462-4c54-8a2e-cb97398edbf8_2000x.png?v=1732911539,"24/7 All Day Every Day / YP Classics 5-Panel Flat Peak Snap Back Truck Cap. Front Panel - 74% Polyester, 26% Cotton twill, Mid and Back Panels - 100% polyester premium mesh. 5-Panl, matching 7-position adjustable snap back closure, high profile, structured, flat visor with 8-rows of topstitching. Matching under visor, sewn in Yupoong label, Tear-away 24/7 All Day Every Day label. Comes with tear away embroidery backing for easy decoration. ",0.21,lbs,18,22,20,in,144
F06006,F06006-NAV-AS,Headwear,CSW 24/7,Yupoong,5 Panel Flat Peak Snap Back Trucker Cap,Navy,AS,https://canadasportswear.com/cdn/shop/files/6006_NAVY_LEFT_SLANT_STICKER_56cd6f86-6070-4d13-b1eb-9a2dd0b29c91_2000x.png?v=1732911539,"24/7 All Day Every Day / YP Classics 5-Panel Flat Peak Snap Back Truck Cap. Front Panel - 74% Polyester, 26% Cotton twill, Mid and Back Panels - 100% polyester premium mesh. 5-Panl, matching 7-position adjustable snap back closure, high profile, structured, flat visor with 8-rows of topstitching. Matching under visor, sewn in Yupoong label, Tear-away 24/7 All Day Every Day label. Comes with tear away embroidery backing for easy decoration. ",0.21,lbs,18,22,20,in,144
F06006,F06006-CHA-AS,Headwear,CSW 24/7,Yupoong,5 Panel Flat Peak Snap Back Trucker Cap,Charcoal,AS,https://canadasportswear.com/cdn/shop/files/6006_CHARCOAL_LEFT_SLANT_STICKER_965d2657-4b68-43c4-a790-49bc5645481f_2000x.png?v=1732911539,"24/7 All Day Every Day / YP Classics 5-Panel Flat Peak Snap Back Truck Cap. Front Panel - 74% Polyester, 26% Cotton twill, Mid and Back Panels - 100% polyester premium mesh. 5-Panl, matching 7-position adjustable snap back closure, high profile, structured, flat visor with 8-rows of topstitching. Matching under visor, sewn in Yupoong label, Tear-away 24/7 All Day Every Day label. Comes with tear away embroidery backing for easy decoration. ",0.21,lbs,18,22,20,in,144
F06006,F06006-WHI-AS,Headwear,CSW 24/7,Yupoong,5 Panel Flat Peak Snap Back Trucker Cap,White,AS,https://canadasportswear.com/cdn/shop/files/6006_WHITE_LEFTSLANT_STICKER_a07c5733-2277-47ff-ae44-68f426b0b0a3_2000x.png?v=1732911539,"24/7 All Day Every Day / YP Classics 5-Panel Flat Peak Snap Back Truck Cap. Front Panel - 74% Polyester, 26% Cotton twill, Mid and Back Panels - 100% polyester premium mesh. 5-Panl, matching 7-position adjustable snap back closure, high profile, structured, flat visor with 8-rows of topstitching. Matching under visor, sewn in Yupoong label, Tear-away 24/7 All Day Every Day label. Comes with tear away embroidery backing for easy decoration. ",0.21,lbs,18,22,20,in,144
F06006,F06006-GRE-AS,Headwear,CSW 24/7,Yupoong,5 Panel Flat Peak Snap Back Trucker Cap,Grey Heather,AS,https://canadasportswear.com/cdn/shop/files/F06006-GreyHeather-profile_8081181d-b9d3-4231-b150-c209a790db0e_2000x.jpg?v=1732911539,"24/7 All Day Every Day / YP Classics 5-Panel Flat Peak Snap Back Truck Cap. Front Panel - 74% Polyester, 26% Cotton twill, Mid and Back Panels - 100% polyester premium mesh. 5-Panl, matching 7-position adjustable snap back closure, high profile, structured, flat visor with 8-rows of topstitching. Matching under visor, sewn in Yupoong label, Tear-away 24/7 All Day Every Day label. Comes with tear away embroidery backing for easy decoration. ",0.21,lbs,18,22,20,in,144
F06110,F06110-RED-AS,Headwear,CSW 24/7,Flexfit,Flexfit Adjustable Cap,Red,AS,https://canadasportswear.com/cdn/shop/files/6110NU_RED_LEFTSLANT_STICKER_3f4baa3f-de98-4fd3-8174-82b678cdecef_2000x.png?v=1732911700,"24/7 All Day Every Day / Flexfit Nu Adjustable Cap. The Flexfit NU Adjustable Cap combines the original Flexfit Tech, enhanced Cool & Dry technology, and ActiveGuard technology to embody refinement and modern comfortability with an iconic foundation. Integrating personalized fit with an adjustable back that fits up to the ten sizes, the Flexfit NU Adjustable Cap is reimagined as an all-around player for the new premium everyday headwear. Comes with tear away embroidery backing for easy decoration. We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06110,F06110-BLA-AS,Headwear,CSW 24/7,Flexfit,Flexfit Adjustable Cap,Black,AS,https://canadasportswear.com/cdn/shop/files/6110NU_BLACK_LEFTSLANT_STICKER_4ad08598-2830-43d9-a6c7-9673ae9895c5_2000x.png?v=1732911700,"24/7 All Day Every Day / Flexfit Nu Adjustable Cap. The Flexfit NU Adjustable Cap combines the original Flexfit Tech, enhanced Cool & Dry technology, and ActiveGuard technology to embody refinement and modern comfortability with an iconic foundation. Integrating personalized fit with an adjustable back that fits up to the ten sizes, the Flexfit NU Adjustable Cap is reimagined as an all-around player for the new premium everyday headwear. Comes with tear away embroidery backing for easy decoration. We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06110,F06110-NAV-AS,Headwear,CSW 24/7,Flexfit,Flexfit Adjustable Cap,Navy,AS,https://canadasportswear.com/cdn/shop/files/6110NU_NAVY_LEFTSLANT_STICKER_bf21250a-82a1-46e5-bbd2-75383c041940_2000x.png?v=1732911700,"24/7 All Day Every Day / Flexfit Nu Adjustable Cap. The Flexfit NU Adjustable Cap combines the original Flexfit Tech, enhanced Cool & Dry technology, and ActiveGuard technology to embody refinement and modern comfortability with an iconic foundation. Integrating personalized fit with an adjustable back that fits up to the ten sizes, the Flexfit NU Adjustable Cap is reimagined as an all-around player for the new premium everyday headwear. Comes with tear away embroidery backing for easy decoration. We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06110,F06110-CHA-AS,Headwear,CSW 24/7,Flexfit,Flexfit Adjustable Cap,Charcoal,AS,https://canadasportswear.com/cdn/shop/files/6110NU_DARKGREY_LEFTANGLE_STICKER_9bb2b700-2b6e-48ba-953f-faa31d09bfed_2000x.png?v=1732911700,"24/7 All Day Every Day / Flexfit Nu Adjustable Cap. The Flexfit NU Adjustable Cap combines the original Flexfit Tech, enhanced Cool & Dry technology, and ActiveGuard technology to embody refinement and modern comfortability with an iconic foundation. Integrating personalized fit with an adjustable back that fits up to the ten sizes, the Flexfit NU Adjustable Cap is reimagined as an all-around player for the new premium everyday headwear. Comes with tear away embroidery backing for easy decoration. We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06110,F06110-GRE-AS,Headwear,CSW 24/7,Flexfit,Flexfit Adjustable Cap,Grey,AS,https://canadasportswear.com/cdn/shop/files/6110NU_GREY_LEFTSLANT_STICKER_ed57159a-7a58-477d-8749-1bd2670630dc_2000x.png?v=1732911700,"24/7 All Day Every Day / Flexfit Nu Adjustable Cap. The Flexfit NU Adjustable Cap combines the original Flexfit Tech, enhanced Cool & Dry technology, and ActiveGuard technology to embody refinement and modern comfortability with an iconic foundation. Integrating personalized fit with an adjustable back that fits up to the ten sizes, the Flexfit NU Adjustable Cap is reimagined as an all-around player for the new premium everyday headwear. Comes with tear away embroidery backing for easy decoration. We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
